a_year,a_ref,v_id,c_id,c_class,c_sex,c_agegroup,c_sever,c_loc,c_move,c_school,c_pcv,c_pedinj,c_vtype
2021,1,0,1,5,2,3,3, , ,8, , , 
2021,2,1,1,1,1,5,2,1,1,8,1, ,8
2021,3,1,1,3,2,6,3, , ,8, , ,8
2021,4,1,1,1,2,6,3, , ,8, , ,8
2021,5,1,1,1,1,4,3, , ,8, , ,8
2021,5,1,2,4,2,1,3, , ,8, , ,8
2021,6,1,1,1,1,4,3, , ,8, , ,8
2021,7,1,1,6,1,8,3, , ,8, , ,4
2021,8,2,1,7,2,3,3, , ,8, , ,1
2021,9,0,1,5,2,5,3, , ,8, , , 
2021,10,2,1,1,1,8,3, , ,8, , ,8
2021,10,2,2,3,2,5,3, , ,8, , ,8
2021,10,2,3,4,1,4,3, , ,8, , ,8
2021,11,1,1,3,2,4,3, , ,8, , ,8
2021,12,1,1,3,2,4,3, , ,8, , ,8
2021,13,1,1,1,2,3,3, , ,8, , ,8
2021,14,1,1,3,2,5,2,1,1,8,1, ,8
2021,15,1,1,7,1,6,2,1,1,8,1,2,1
2021,16,2,1,3,2,7,3, , ,8, , ,8
2021,17,0,1,5,2,7,3, , ,8, , , 
2021,18,0,1,5,1,2,3, , ,8, , , 
2021,19,1,1,6,1,3,2,1,1,8,1, ,4
2021,20,1,1,3,2,3,3, , ,8, , ,8
2021,21,2,1,3,2,5,3, , ,8, , ,8
2021,21,2,2,1,2,5,3, , ,8, , ,8
2021,22,1,1,4,1,1,3, , ,8, , ,8
2021,22,1,2,4,2,2,3, , ,8, , ,8
2021,23,1,1,3,2,4,3, , ,8, , ,8
2021,23,1,2,4,2,6,3, , ,8, , ,8
2021,24,1,1,1,2,5,3, , ,8, , ,8
2021,25,0,1,5,2,3,1,7,10,8,1,2, 
2021,26,3,1,3,1,7,3, , ,8, , ,8
2021,27,1,1,1,1,6,3, , ,8, , ,8
2021,27,2,2,1,2,4,3, , ,8, , ,8
2021,28,1,1,1,1,8,2,1,1,8,1, ,15
2021,29,1,1,1,2,4,3, , ,8, , ,8
2021,30,2,1,2,1,2,2,1,1,8,1,2,23
2021,30,2,2,6,1,3,2,1,1,8,1, ,23
2021,31,2,1,3,2,4,3, , ,8, , ,8
2021,32,1,1,1,1,4,3, , ,8, , ,8
2021,33,1,1,1,1,7,3, , ,8, , ,8
2021,33,2,2,1,1,4,3, , ,8, , ,8
2021,34,2,1,1,1,3,3, , ,8, , ,8
2021,35,1,1,1,2,3,3, , ,8, , ,8
2021,35,2,2,1,2,4,3, , ,8, , ,8
2021,36,1,1,1,2,8,1,1,1,8,1, ,8
2021,36,2,2,1,1,4,2,1,1,8,1, ,8
2021,36,2,3,3,2,4,2,1,1,8,1, ,8
2021,36,2,4,4,2,1,3,1,1,8,1,2,8
2021,37,1,1,1,1,5,3, , ,8, , ,8
2021,38,1,1,1,2,6,3, , ,8, , ,8
2021,39,0,1,5,1,6,3, , ,8, , , 
2021,40,2,1,7,2,5,3, , ,8, , ,1
2021,41,0,1,5,1,8,3, , ,8, , , 
2021,42,1,1,1,1,4,3, , ,8, , ,8
2021,43,1,1,1,1,3,3, , ,8, , ,8
2021,43,2,2,1,1,6,3, , ,8, , ,8
2021,44,1,1,1,1,5,3, , ,8, , ,15
2021,45,0,1,5,1,1,2,5,3,8,1,2, 
2021,46,1,1,1,2,7,3, , ,8, , ,8
2021,46,1,2,3,2,2,3, , ,8, , ,8
2021,47,1,1,1,2,5,3, , ,8, , ,8
2021,47,1,2,3,2,2,3, , ,8, , ,8
2021,47,2,3,1,1,6,3, , ,8, , ,8
2021,48,1,1,1,1,8,3, , ,8, , ,8
2021,48,2,2,1,1,3,3, , ,8, , ,8
2021,49,4,1,1,2,5,3, , ,8, , ,8
2021,50,1,1,1,1,5,2,1,1,8,1, ,8
2021,50,2,2,1,1,7,2,1,1,8,1, ,8
2021,51,1,1,1,1,4,3, , ,8, , ,8
2021,51,1,2,3,2,4,3, , ,8, , ,8
2021,52,1,1,1,1,6,3, , ,8, , ,8
2021,53,1,1,1,2,6,3, , ,8, , ,15
2021,54,1,1,1,1,7,3, , ,8, , ,15
2021,55,1,1,1,2,6,2,1,1,8,1, ,8
2021,56,1,1,1,1,4,3, , ,8, , ,20
2021,57,1,1,1,1,3,3,1,1,8,1, ,8
2021,57,1,2,3,1,3,2,1,1,8,1, ,8
