a_year,a_ref,a_District,a_type,a_veh,a_cas,a_wkday,a_day,a_month,a_hour,a_min,a_gd1,a_gd2,a_ctype,a_speed,a_jdet,a_jcont,a_pedhum,a_pedphys,a_light,a_weat,a_roadsc,a_speccs,a_chaz,a_scene
2021,1,ARBC,3,1,1,FRI,1,1,4,43,312823,346346,13,30, , , , , , , , , , 
2021,2,CCGL,2,1,1,FRI,1,1,7,23,269131,413099,13,60,1,1,1,1,6,2,2,1,1,1
2021,3,ARND,3,1,1,FRI,1,1,9,40,342808,379149,13,60, , , , , , , , , , 
2021,4,FERO,3,2,1,FRI,1,1,10,0,224357,356799,13,60, , , , , , , , , , 
2021,5,ARBC,3,2,2,FRI,1,1,10,15,306596,359457,13,40, , , , , , , , , , 
2021,6,ANTN,3,1,1,FRI,1,1,11,6,325595,378733,13,50, , , , , , , , , , 
2021,7,LISC,3,1,1,FRI,1,1,12,30,327835,367248,13,30, , , , , , , , , , 
2021,8,MEAN,3,2,1,FRI,1,1,12,30,344777,392182,13,60, , , , , , , , , , 
2021,9,NEMD,3,1,1,FRI,1,1,15,0,306652,328918,13,60, , , , , , , , , , 
2021,10,CCGL,3,2,3,FRI,1,1,18,59,265195,403748,13,60, , , , , , , , , , 
2021,11,NEMD,3,1,1,SAT,2,1,5,16,349243,348124,13,60, , , , , , , , , , 
2021,12,MEAN,3,1,1,SAT,2,1,7,3,340371,402471,1,30, , , , , , , , , , 
2021,13,ANTN,3,1,1,SAT,2,1,8,0,315294,387357,13,30, , , , , , , , , , 
2021,14,ANTN,2,1,1,SAT,2,1,10,20,315766,387949,13,30,1,1,1,1,1,9,4,1,1,1
2021,15,BELC,2,2,1,SAT,2,1,7,45,334397,373905,13,30,8,3,1,1,4,1,2,1,1,2
2021,16,BELC,3,2,1,SAT,2,1,14,45,333168,377757,13,30, , , , , , , , , , 
2021,17,NEMD,3,1,1,SAT,2,1,15,50,348516,344419,13,30, , , , , , , , , , 
2021,18,ARND,3,1,1,FRI,1,1,15,35,363516,351199,13,60, , , , , , , , , , 
2021,19,NEMD,2,1,1,SAT,2,1,19,30,319127,315889,13,60,1,1,1,1,6,9,4,1,1,1
2021,20,FERO,3,1,1,SUN,3,1,9,15,242870,378910,13,60, , , , , , , , , , 
2021,21,BELC,3,2,2,SUN,3,1,12,50,338687,373648,13,30, , , , , , , , , , 
2021,22,ARBC,3,2,2,SUN,3,1,13,5,299479,355275,13,40, , , , , , , , , , 
2021,23,DCST,3,2,2,SUN,3,1,13,30,243569,416247,13,30, , , , , , , , , , 
2021,24,CCGL,3,1,1,SUN,3,1,10,30,296334,426067,1,60, , , , , , , , , , 
2021,25,BELC,1,1,1,SUN,3,1,21,2,330074,373637,13,30,1,1,1,11,4,1,2,1,1,1
2021,26,ARBC,3,3,1,MON,4,1,10,30,281144,339474,13,60, , , , , , , , , , 
2021,27,BELC,3,2,2,MON,4,1,11,30,332229,373096,13,30, , , , , , , , , , 
2021,28,ANTN,2,2,1,MON,4,1,13,0,312872,393710,11,70,12,7,1,1,1,1,1,1,1,1
2021,29,DCST,3,2,1,MON,4,1,17,0,245314,415982,13,30, , , , , , , , , , 
2021,30,BELC,2,3,2,MON,4,1,17,18,330564,371626,13,30,10,7,1,1,4,2,2,1,1,1
2021,31,BELC,3,2,1,MON,4,1,21,0,334397,373905,13,30, , , , , , , , , , 
2021,32,MIDU,3,1,1,TUE,5,1,2,46,287414,368738,13,60, , , , , , , , , , 
2021,33,MEAN,3,2,2,TUE,5,1,6,16,314975,395178,13,60, , , , , , , , , , 
2021,34,ARBC,3,3,1,TUE,5,1,6,26,286969,346165,13,60, , , , , , , , , , 
2021,35,LISC,3,3,2,TUE,5,1,8,0,331768,366120,13,50, , , , , , , , , , 
2021,36,NEMD,1,2,4,TUE,5,1,15,13,339328,347837,13,60,1,1,1,1,2,1,1,1,1,1
2021,37,MEAN,3,2,1,TUE,5,1,15,17,342384,388141,13,30, , , , , , , , , , 
2021,38,DCST,3,2,1,TUE,5,1,16,10,250885,420756,13,70, , , , , , , , , , 
2021,39,ARBC,3,1,1,TUE,5,1,16,0,301090,352956,13,30, , , , , , , , , , 
2021,40,ANTN,3,2,1,TUE,5,1,17,0,335875,382829,13,30, , , , , , , , , , 
2021,41,BELC,3,1,1,TUE,5,1,17,15,333530,374133,13,30, , , , , , , , , , 
2021,42,BELC,3,2,1,TUE,5,1,19,16,332881,373511,11,50, , , , , , , , , , 
2021,43,ARBC,3,2,2,TUE,5,1,21,0,287379,346000,1,30, , , , , , , , , , 
2021,44,ARBC,3,2,1,WED,6,1,7,45,310896,364330,13,60, , , , , , , , , , 
2021,45,BELC,2,1,1,WED,6,1,11,34,331273,377618,13,30,12,7,1,9,1,1,1,1,1,1
2021,46,BELC,3,1,2,WED,6,1,13,0,336720,373077,13,30, , , , , , , , , , 
2021,47,NEMD,3,2,3,WED,6,1,13,10,308090,326522,13,30, , , , , , , , , , 
2021,48,DCST,3,2,2,WED,6,1,13,20,234866,398794,13,30, , , , , , , , , , 
2021,49,ANTN,3,4,1,WED,6,1,13,48,308094,390455,13,30, , , , , , , , , , 
2021,50,MIDU,2,2,2,WED,6,1,20,6,279645,376999,13,60,12,7,1,1,6,9,2,1,1,1
2021,51,FERO,3,1,2,THU,7,1,7,0,198186,359700,13,60, , , , , , , , , , 
2021,52,NEMD,3,1,1,THU,7,1,9,23,340994,352488,13,60, , , , , , , , , , 
2021,53,MEAN,3,1,1,THU,7,1,11,14,315776,416821,13,60, , , , , , , , , , 
2021,54,DCST,3,1,1,THU,7,1,11,25,248155,411785,13,60, , , , , , , , , , 
2021,55,NEMD,2,1,1,THU,7,1,11,31,350622,358328,13,60,10,7,1,1,3,9,4,1,1,1
2021,56,ANTN,3,2,1,THU,7,1,12,0,331791,382202,13,30, , , , , , , , , , 
2021,57,FERO,2,1,2,THU,7,1,17,20,223013,359148,13,60,1,1,1,1,6,9,4,1,1,1
2021,58,DCST,3,2,1,THU,7,1,18,1,243297,417181,13,30, , , , , , , , , , 
2021,59,MIDU,3,2,2,THU,7,1,19,12,276114,378106,13,60, , , , , , , , , , 
2021,60,FERO,3,1,2,THU,7,1,20,55,241818,369787,13,60, , , , , , , , , , 
2021,61,BELC,3,2,2,THU,7,1,20,45,333532,373085,13,30, , , , , , , , , , 
2021,62,ANTN,3,1,1,FRI,8,1,7,45,330199,394142,13,60, , , , , , , , , , 
2021,63,LISC,3,3,1,FRI,8,1,8,9,342343,374080,13,60, , , , , , , , , , 
2021,64,ARBC,3,2,2,FRI,8,1,9,32,287157,353441,13,60, , , , , , , , , , 
2021,65,FERO,3,1,1,FRI,8,1,11,10,219359,358441,13,40, , , , , , , , , , 
2021,66,BELC,3,1,1,FRI,8,1,12,0,332714,374798,13,30, , , , , , , , , , 
2021,67,BELC,3,2,1,FRI,8,1,13,0,329718,371247,13,30, , , , , , , , , , 
2021,68,LISC,3,2,1,FRI,8,1,13,14,323964,364376,13,50, , , , , , , , , , 
2021,69,NEMD,3,2,3,FRI,8,1,14,35,307291,328392,13,60, , , , , , , , , , 
2021,70,ARBC,3,1,1,FRI,8,1,16,2,310333,356077,13,30, , , , , , , , , , 
2021,71,LISC,3,2,1,FRI,8,1,17,0,341069,367040,13,60, , , , , , , , , , 
2021,72,BELC,3,2,2,FRI,8,1,22,37,333343,375993,13,30, , , , , , , , , , 
2021,73,BELC,3,1,1,SAT,9,1,0,26,333758,373729,13,20, , , , , , , , , , 
2021,74,FERO,3,2,1,SAT,9,1,16,1,233607,355136,13,60, , , , , , , , , , 
2021,75,NEMD,3,2,2,SAT,9,1,20,0,305393,320461,13,30, , , , , , , , , , 
2021,76,LISC,3,1,1,SUN,10,1,5,25,335223,370067,11,40, , , , , , , , , , 
2021,77,BELC,3,1,1,SUN,10,1,5,28,329655,378086,13,60, , , , , , , , , , 
2021,78,ARND,3,3,1,SUN,10,1,15,30,352554,382394,13,30, , , , , , , , , , 
2021,79,CCGL,3,1,1,MON,11,1,7,11,284144,427910,13,60, , , , , , , , , , 
2021,80,ANTN,1,2,2,MON,11,1,9,12,334664,393242,13,60,1,1,1,1,2,1,1,1,1,1
2021,81,ARBC,3,4,3,MON,11,1,12,20,287671,345427,13,30, , , , , , , , , , 
2021,82,ARND,3,2,1,MON,11,1,13,15,354998,370999,13,60, , , , , , , , , , 
2021,83,MIDU,3,3,5,MON,11,1,16,0,284784,378258,13,60, , , , , , , , , , 
2021,84,BELC,3,2,1,MON,11,1,16,30,338143,374010,13,30, , , , , , , , , , 
2021,85,MEAN,3,2,1,MON,11,1,16,30,310966,400883,13,40, , , , , , , , , , 
2021,86,BELC,3,2,1,MON,11,1,17,34,332857,372445,13,30, , , , , , , , , , 
2021,87,BELC,2,2,2,TUE,12,1,7,15,334983,370872,13,30,12,3,1,11,4,10,1,1,1,1
2021,88,CCGL,3,2,1,TUE,12,1,9,26,298991,421785,13,60, , , , , , , , , , 
2021,89,BELC,3,2,1,TUE,12,1,11,10,338656,376228,13,30, , , , , , , , , , 
2021,90,MEAN,3,1,1,TUE,12,1,11,18,327773,398713,13,30, , , , , , , , , , 
2021,91,BELC,3,2,1,TUE,12,1,12,5,331978,373229,13,30, , , , , , , , , , 
2021,92,ARBC,2,3,1,MON,11,1,10,10,316661,349739,13,60,1,1,1,1,2,10,10,1,1,2
2021,93,BELC,3,5,1,TUE,12,1,13,49,329729,369480,12,70, , , , , , , , , , 
2021,94,BELC,3,2,1,SUN,10,1,14,17,329472,371276,13,30, , , , , , , , , , 
2021,95,MIDU,3,3,2,TUE,12,1,15,58,280568,376942,13,30, , , , , , , , , , 
2021,96,NEMD,3,2,3,TUE,12,1,17,0,308843,325448,13,30, , , , , , , , , , 
2021,97,BELC,3,2,1,TUE,12,1,12,15,332734,372387,13,30, , , , , , , , , , 
2021,98,ARND,3,2,2,TUE,12,1,18,27,348564,360647,13,60, , , , , , , , , , 
2021,99,ARBC,3,2,1,WED,13,1,7,58,305957,358946,13,50, , , , , , , , , , 
2021,100,ARND,3,2,1,WED,13,1,8,55,349447,381053,13,30, , , , , , , , , , 
2021,101,MIDU,3,2,1,WED,13,1,9,0,290528,394594,13,60, , , , , , , , , , 
2021,102,ARND,3,1,1,WED,13,1,13,34,352071,371369,13,60, , , , , , , , , , 
2021,103,ARBC,3,2,2,WED,13,1,15,45,302103,353808,13,30, , , , , , , , , , 
2021,104,FERO,3,2,1,WED,13,1,17,20,223040,341247,13,60, , , , , , , , , , 
2021,105,BELC,3,2,2,WED,13,1,18,20,333338,373890,13,30, , , , , , , , , , 
2021,106,BELC,3,2,1,WED,13,1,17,40,332638,381205,13,40, , , , , , , , , , 
2021,107,NEMD,3,1,1,WED,13,1,18,50,341330,345026,13,60, , , , , , , , , , 
2021,108,BELC,3,2,1,WED,13,1,19,0,333362,375913,13,30, , , , , , , , , , 
2021,109,MIDU,3,1,1,WED,13,1,23,40,277622,365201,13,60, , , , , , , , , , 
2021,110,ANTN,3,2,2,THU,14,1,7,35,334445,383096,13,30, , , , , , , , , , 
2021,111,BELC,3,1,1,THU,14,1,11,49,333766,373937,13,30, , , , , , , , , , 
2021,112,BELC,3,1,1,THU,14,1,12,59,330296,370110,13,30, , , , , , , , , , 
2021,113,CCGL,2,2,1,THU,14,1,13,0,284764,432552,13,30,8,7,1,11,1,1,1,1,1,1
2021,114,ARND,3,2,1,THU,14,1,13,53,341769,376639,13,60, , , , , , , , , , 
2021,115,MIDU,3,2,1,THU,14,1,17,19,279035,362910,13,30, , , , , , , , , , 
2021,116,NEMD,3,1,1,THU,14,1,17,30,334109,336263,13,30, , , , , , , , , , 
2021,117,ANTN,3,2,1,THU,14,1,17,45,335874,382831,13,40, , , , , , , , , , 
2021,118,LISC,2,1,1,THU,14,1,17,50,326523,363656,13,30,10,7,1,11,4,1,2,1,1,1
2021,119,DCST,3,1,1,THU,14,1,19,20,233926,393605,13,30, , , , , , , , , , 
2021,120,BELC,3,3,2,FRI,15,1,6,50,333372,374980,14,50, , , , , , , , , , 
2021,121,LISC,3,2,1,FRI,15,1,7,54,316539,369376,13,60, , , , , , , , , , 
2021,122,MIDU,3,2,1,FRI,15,1,8,15,294793,392570,13,40, , , , , , , , , , 
2021,123,ARND,3,2,1,FRI,15,1,12,0,343284,363555,13,30, , , , , , , , , , 
2021,124,DCST,3,2,2,FRI,15,1,13,17,244090,421646,13,30, , , , , , , , , , 
2021,125,BELC,3,1,2,FRI,15,1,15,9,333236,378179,13,30, , , , , , , , , , 
2021,126,BELC,3,2,1,FRI,15,1,15,55,333558,374849,13,30, , , , , , , , , , 
2021,127,BELC,3,1,1,FRI,15,1,17,5,329026,368699,13,30, , , , , , , , , , 
2021,128,CCGL,2,2,1,FRI,15,1,13,45,285239,414320,13,60,1,1,1,1,2,1,1,1,1,2
2021,129,CCGL,3,1,1,FRI,15,1,21,13,266039,406932,13,60, , , , , , , , , , 
2021,130,NEMD,3,1,1,FRI,15,1,23,45,348802,346400,13,30, , , , , , , , , , 
