a_year,a_ref,v_id,v_type,v_tow,v_man,v_loc,v_junc,v_skid,v_hit,v_leave,v_hitoff,v_impact,v_sex,v_agegroup,v_hitr,v_forreg
2020,1,1,8,1,18,3, , , , , ,2,1,3,1, 
2020,2,1,8,1,18,4, , , , , ,2,1,7,2, 
2020,2,2,8,1,2,4, , , , , ,4,3,9,1, 
2020,2,3,8,1,2,4, , , , , ,5,3,9,1, 
2020,2,4,8,1,2,4, , , , , ,2,3,9,1, 
2020,3,1,8,1,11,3,1,1,1,1,1,2,1,3,1,1
2020,3,2,8,1,18,3,1,1,1,2,1,2,2,6,1,1
2020,4,1,8,1,5,2, , , , , ,2,1,5,1, 
2020,4,2,8,1,18,3, , , , , ,2,2,5,1, 
2020,5,1,24,2,18,3, , , , , ,2,1,5,1, 
2020,5,2,8,1,18,3, , , , , ,4,1,8,1, 
2020,6,1,8,1,9,3, , , , , ,2,1,3,1, 
2020,7,1,8,1,18,3, , , , , ,2,1,8,1, 
2020,8,1,8,1,18,4,1,6,1,3,11,2,1,4,1,1
2020,9,1,8,1,18,3,1,1,1,1,1,2,1,7,1,1
2020,9,2,8,1,18,3,1,1,1,3,1,2,2,3,1,3
2020,10,1,8,1,17,3, , , , , ,2,2,3,1, 
2020,10,2,8,1,18,3, , , , , ,2,2,7,1, 
2020,11,1,8,1,18,3, , , , , ,2,1,5,1, 
2020,11,2,8,1,18,3, , , , , ,2,1,4,1, 
2020,12,1,8,1,18,3, , , , , ,2,1,3,1, 
2020,12,2,8,1,18,3, , , , , ,4,3,9,2, 
2020,13,1,8,1,16,3, , , , , ,2,2,8,1, 
2020,13,2,8,1,17,3, , , , , ,2,1,4,1, 
2020,14,1,8,1,5,2, , , , , ,2,1,8,1, 
2020,14,2,8,1,18,3, , , , , ,5,1,8,1, 
2020,15,1,8,1,9,3, , , , , ,5,2,5,1, 
2020,15,2,8,1,19,3, , , , , ,2,2,3,1, 
2020,16,1,1,1,18,4, , , , , ,2,1,1,1, 
2020,16,2,8,1,18,4, , , , , ,2,1,4,1, 
2020,17,1,8,1,18,3, , , , , ,4,1,4,1, 
2020,18,1,8,1,1,3,3,1,1,1,1,3,1,6,1,1
2020,19,1,8,1,5,3, , , , , ,2,1,6,1, 
2020,20,1,8,1,18,3,3,1,1,1,1,5,2,8,1,1
2020,20,2,8,1,5,3,3,1,1,1,1,2,1,6,1,1
2020,21,1,16,1,18,2,2,1,1,1,1,4,1,4,1,1
2020,21,2,8,1,18,3,2,1,1,1,1,5,1,5,1,1
2020,22,1,8,1,18,3, , , , , ,2,1,6,1, 
2020,22,2,8,1,4,3, , , , , ,3,2,6,1, 
2020,23,1,8,1,9,3,4,1,1,1,1,2,2,8,1,1
2020,24,1,8,1,10,3, , , , , ,3,1,8,1, 
2020,24,2,8,1,18,3, , , , , ,2,1,4,1, 
2020,24,3,8,1,4,3, , , , , ,2,2,4,1, 
2020,25,1,8,1,18,3, , , , , ,2,1,8,1, 
2020,25,2,25,5,7,3, , , , , ,2,1,8,1, 
2020,26,1,8,1,11,3, , , , , ,5,1,8,1, 
2020,26,2,8,1,18,3, , , , , ,4,1,4,1, 
2020,27,1,8,1,18,10, , , , , ,2,1,8,2, 
2020,28,1,8,1,10,3, , , , , ,3,2,5,1, 
2020,28,2,8,1,3,3, , , , , ,3,1,6,1, 
2020,28,3,8,1,18,3, , , , , ,2,2,3,1, 
2020,29,1,25,5,9,3, , , , , ,4,1,8,1, 
2020,29,2,8,1,14,3, , , , , ,5,2,7,1, 
2020,30,1,20,1,7,12, , , , , ,1,1,5,1, 
2020,31,1,8,1,18,3,1,1,1,2,5,5,1,4,1,1
2020,31,2,24,1,18,3,1,1,1,1,1,1,3,9,3,1
2020,32,1,8,1,3,3, , , , , ,3,2,5,1, 
2020,32,2,8,1,4,3, , , , , ,2,1,8,1, 
2020,33,1,8,1,9,2, , , , , ,4,2,4,1, 
2020,33,2,8,1,18,3, , , , , ,2,2,7,1, 
2020,34,1,1,1,19,3,1,1,1,1,1,3,1,2,1,1
2020,34,2,8,1,16,3,1,1,1,1,1,2,1,4,1,1
2020,35,1,8,1,9,3, , , , , ,2,1,7,1, 
2020,36,1,8,1,5,3, , , , , ,5,2,4,1, 
2020,37,1,8,1,19,3, , , , , ,4,1,5,1, 
2020,37,2,23,1,18,3, , , , , ,2,1,6,1, 
